source	target	depth
natural-language generation	autocompletion	1
natural-language generation	automated journalism	1
natural-language generation	automated paraphrasing	1
natural-language generation	markov text generators	1
natural-language generation	meaning-text theory	1
amazon alexa	cortana	1
amazon alexa	google assistant	1
amazon alexa	mycroft (software)	1
amazon alexa	siri	1
google assistant	amazon alexa	1
google assistant	bixby (virtual assistant)	1
google assistant	cortana	1
google assistant	home automation	1
google assistant	internet of things	1
google assistant	mycroft (software)	1
google assistant	siri	1
google assistant	smart device	1
google assistant	speech recognition	1
google assistant	voice command device	1
natural-language understanding	computational semantics	1
natural-language understanding	computational linguistics	1
natural-language understanding	discourse representation theory	1
natural-language understanding	deep linguistic processing	1
natural-language understanding	history of natural language processing	1
natural-language understanding	information extraction	1
natural-language understanding	mathematica	1
natural-language understanding	natural language programming	1
natural-language understanding	natural language user interface	1
natural-language understanding	siri (software)	1
natural-language understanding	wolfram alpha	1
natural-language understanding	open information extraction	1
natural-language understanding	part-of-speech tagging	1
natural-language understanding	speech recognition	1
siri	amazon alexa	1
siri	blackberry 10	1
siri	cortana (software)	1
siri	celia (virtual assistant)	1
siri	clova (virtual assistant)	1
siri	cyc	1
siri	bixby (virtual assistant)	1
siri	evi (software)	1
siri	google assistant	1
siri	knowledge graph	1
siri	knowledge navigator	1
siri	memex	1
siri	microsoft voice command	1
siri	mycroft (software)	1
siri	one voice technologies	1
siri	prolog	1
siri	s voice	1
siri	virtual assistant	1
siri	viv (software)	1
siri	windows speech recognition	1
siri	wolfram alpha	1
siri	watson (computer)	1
siri	alice (virtual assistant)	1
mycroft (software)	amazon alexa	2
mycroft (software)	cortana	2
mycroft (software)	google assistant	2
mycroft (software)	siri	2
alice (virtual assistant)	amazon alexa	2
alice (virtual assistant)	bixby (virtual assistant)	2
alice (virtual assistant)	clova (virtual assistant)	2
alice (virtual assistant)	cortana (software)	2
alice (virtual assistant)	evi (software)	2
alice (virtual assistant)	google assistant	2
alice (virtual assistant)	haptik	2
alice (virtual assistant)	siri	2
alice (virtual assistant)	s voice	2
alice (virtual assistant)	viv (software)	2
watson (computer)	artificial intelligence	2
watson (computer)	blue gene	2
watson (computer)	commonsense knowledge (artificial intelligence)	2
watson (computer)	glossary of artificial intelligence	2
watson (computer)	artificial general intelligence	2
watson (computer)	tech companies in the new york metropolitan area	2
watson (computer)	wolfram alpha	2
wolfram alpha	commonsense knowledge problem	2
wolfram alpha	artificial general intelligence	2
wolfram alpha	watson (computer)	2
tech companies in the new york metropolitan area	wp:seealso	3
tech companies in the new york metropolitan area	silicon alley	3
tech companies in the new york metropolitan area	silicon hills	3
tech companies in the new york metropolitan area	tech valley	3
commonsense knowledge problem	common sense	3
commonsense knowledge problem	commonsense reasoning	3
commonsense knowledge problem	linked data	3
commonsense knowledge problem	semantic web	3
commonsense knowledge problem	default logic	3
commonsense knowledge problem	reason maintenance	3
commonsense knowledge problem	ontology (information science)	3
commonsense knowledge problem	artificial general intelligence	3
artificial general intelligence	artificial brain	3
artificial general intelligence	ai control problem	3
artificial general intelligence	automated machine learning	3
artificial general intelligence	brain initiative	3
artificial general intelligence	china brain project	3
artificial general intelligence	future of humanity institute	3
artificial general intelligence	general game playing	3
artificial general intelligence	human brain project	3
artificial general intelligence	intelligence amplification	3
artificial general intelligence	machine ethics	3
artificial general intelligence	multi-task learning	3
artificial general intelligence	superintelligence: paths, dangers, strategies	3
artificial general intelligence	synthetic intelligence	3
artificial general intelligence	transfer learning	3
glossary of artificial intelligence	artificial intelligence	3
commonsense knowledge (artificial intelligence)	common sense	3
commonsense knowledge (artificial intelligence)	commonsense reasoning	3
commonsense knowledge (artificial intelligence)	linked data	3
commonsense knowledge (artificial intelligence)	semantic web	3
commonsense knowledge (artificial intelligence)	default logic	3
commonsense knowledge (artificial intelligence)	reason maintenance	3
commonsense knowledge (artificial intelligence)	ontology (information science)	3
commonsense knowledge (artificial intelligence)	artificial general intelligence	3
blue gene	cnk operating system	3
blue gene	ink (operating system)	3
blue gene	deep blue (chess computer)	3
artificial intelligence	a.i. rising	3
artificial intelligence	ai control problem	3
artificial intelligence	artificial intelligence arms race	3
artificial intelligence	artificial general intelligence	3
artificial intelligence	behavior selection algorithm	3
artificial intelligence	business process automation	3
artificial intelligence	case-based reasoning	3
artificial intelligence	citizen science	3
artificial intelligence	emergent algorithm	3
artificial intelligence	female gendering of ai technologies	3
artificial intelligence	glossary of artificial intelligence	3
artificial intelligence	regulation of artificial intelligence	3
artificial intelligence	robotic process automation	3
artificial intelligence	synthetic intelligence	3
artificial intelligence	universal basic income	3
artificial intelligence	weak ai	3
s voice	bixby (virtual assistant)	3
s voice	cortana (software)	3
s voice	google assistant	3
s voice	google now	3
s voice	siri	3
viv (software)	amazon alexa	3
viv (software)	bixby (virtual assistant)	3
viv (software)	cortana (software)	3
viv (software)	google assistant	3
viv (software)	mycroft (software)	3
viv (software)	siri	3
viv (software)	hound (software)	3
viv (software)	soundhound	3
haptik	alisa (virtual assistant)	3
haptik	amazon alexa	3
haptik	bixby (virtual assistant)	3
haptik	blackberry 10	3
haptik	clova (virtual assistant)	3
haptik	cortana (software)	3
haptik	evi (software)	3
haptik	google assistant	3
haptik	s voice	3
haptik	siri	3
haptik	viv (software)	3
evi (software)	cortana (software)	3
evi (software)	cyber chess	3
evi (software)	cyc	3
evi (software)	ivona	3
evi (software)	siri (software)	3
evi (software)	wolfram alpha	3
evi (software)	yago (database)	3
evi (software)	yap (company)	3
bixby (virtual assistant)	alice (virtual assistant)	3
bixby (virtual assistant)	amazon alexa	3
bixby (virtual assistant)	clova (virtual assistant)	3
bixby (virtual assistant)	cortana (software)	3
bixby (virtual assistant)	evi (software)	3
bixby (virtual assistant)	google assistant	3
bixby (virtual assistant)	haptik	3
bixby (virtual assistant)	siri	3
bixby (virtual assistant)	s voice	3
bixby (virtual assistant)	viv (software)	3
cortana (software)	microsoft voice command	3
cortana (software)	windows speech recognition	3
cortana (software)	microsoft agent	3
cortana (software)	office assistant	3
cortana (software)	microsoft bob	3
cortana	microsoft voice command	3
cortana	windows speech recognition	3
cortana	microsoft agent	3
cortana	office assistant	3
cortana	microsoft bob	3
windows speech recognition	microsoft cordless phone system	3
windows speech recognition	microsoft narrator	3
windows speech recognition	microsoft voice command	3
windows speech recognition	technical features new to windows vista	3
virtual assistant	applications of artificial intelligence	3
virtual assistant	chatbot	3
virtual assistant	conversational user interface	3
virtual assistant	computer facial animation	3
virtual assistant	expert system	3
virtual assistant	home network	3
virtual assistant	intelligent agent	3
virtual assistant	knowledge navigator	3
virtual assistant	microsoft office assistant	3
virtual assistant	natural language processing	3
virtual assistant	simulated reality	3
virtual assistant	software agent	3
virtual assistant	wizard (software)	3
prolog	comparison of prolog implementations	3
prolog	logico-linguistic modeling	3
prolog	answer set programming	3
prolog	association for logic programming	3
prolog	gödel (programming language)	3
prolog	concurrent constraint logic programming	3
prolog	visual prolog	3
prolog	data type	3
prolog	object-oriented programming	3
prolog	datalog	3
prolog	turing-complete	3
prolog	mercury (programming language)	3
prolog	planner (programming language)	3
prolog	scientific community metaphor	3
prolog	agentspeak	3
prolog	multi-agent system	3
prolog	erlang (programming language)	3
prolog	picolisp	3
microsoft voice command	speech recognition	3
microsoft voice command	speech synthesis	3
microsoft voice command	voice control	3
microsoft voice command	microsoft cortana	3
knowledge navigator	1984 (advertisement)	3
knowledge navigator	artificial intelligence	3
knowledge navigator	clippy	3
knowledge navigator	dynabook	3
knowledge navigator	hyperland	3
knowledge navigator	knowledge visualization	3
knowledge navigator	memex	3
knowledge navigator	office of the future	3
knowledge navigator	starfire video prototype	3
knowledge navigator	technological singularity	3
memex	altavista	3
memex	commonplace book	3
memex	dublin core	3
memex	hypomnema	3
memex	intelligence amplification	3
memex	metadata (computing)	3
memex	mundaneum	3
memex	office of the future	3
memex	paul otlet	3
memex	victorian internet	3
memex	web annotation	3
memex	world brain	3
memex	zettelkasten	3
memex	project xanadu	3
knowledge graph	dbpedia	3
knowledge graph	google assistant	3
knowledge graph	linked data	3
knowledge graph	semantic integration	3
knowledge graph	semantic network	3
knowledge graph	wikidata	3
cyc	babelnet	3
cyc	categorical logic	3
cyc	chinese room	3
cyc	darpa agent markup language	3
cyc	dbpedia	3
cyc	fifth generation computer	3
cyc	freebase (database)	3
cyc	large scale concept ontology for multimedia	3
cyc	mindpixel	3
cyc	never-ending language learning	3
cyc	open mind common sense	3
cyc	semantic web	3
cyc	suggested upper merged ontology	3
cyc	shrdlu	3
cyc	true knowledge	3
cyc	umbel	3
cyc	wolfram alpha	3
cyc	yago (database)	3
celia (virtual assistant)	amazon alexa	3
celia (virtual assistant)	cortana	3
celia (virtual assistant)	siri	3
celia (virtual assistant)	virtual assistant	3
celia (virtual assistant)	applications of artificial intelligence	3
blackberry 10	comparison of mobile operating systems	3
blackberry 10	mobile computing	3
technical features new to windows vista	windows server 2008	3
microsoft cordless phone system	cortana (software)	3
microsoft cordless phone system	microsoft exchange server	3
microsoft cordless phone system	microsoft mobile	3
microsoft cordless phone system	microsoft outlook	3
microsoft cordless phone system	nokia	3
microsoft cordless phone system	skype	3
microsoft cordless phone system	windows phone	3
microsoft cordless phone system	windows speech recognition	3
soundhound	shazam (company)	3
soundhound	query by humming	3
soundhound	speech recognition	3
soundhound	voice search	3
multi-agent system	comparison of agent-based modeling software	3
multi-agent system	agent-based computational economics	3
multi-agent system	artificial brain	3
multi-agent system	artificial intelligence	3
multi-agent system	artificial life	3
multi-agent system	artificial life framework	3
multi-agent system	ai mayor	3
multi-agent system	black box	3
multi-agent system	blackboard system	3
multi-agent system	complex systems	3
multi-agent system	discrete event simulation	3
multi-agent system	distributed artificial intelligence	3
multi-agent system	emergence	3
multi-agent system	evolutionary computation	3
multi-agent system	game theory	3
multi-agent system	human-based genetic algorithm	3
multi-agent system	knowledge query and manipulation language	3
multi-agent system	microbial intelligence	3
multi-agent system	multi-agent planning	3
multi-agent system	pattern-oriented modeling	3
multi-agent system	platbox project	3
multi-agent system	reinforcement learning	3
multi-agent system	scientific community metaphor	3
multi-agent system	self-reconfiguring modular robot	3
multi-agent system	simulated reality	3
multi-agent system	social simulation	3
multi-agent system	software agent	3
multi-agent system	swarm intelligence	3
multi-agent system	swarm robotics	3
scientific community metaphor	paraconsistent logics	3
scientific community metaphor	planner programming language	3
scientific community metaphor	science studies	3
scientific community metaphor	the structure of scientific revolutions	3
erlang (programming language)	elixir (programming language)	3
erlang (programming language)	luerl	3
erlang (programming language)	lfe (programming language)	3
erlang (programming language)	mix (build tool)	3
erlang (programming language)	phoenix (web framework)	3
planner (programming language)	logic programming	3
planner (programming language)	prolog	3
agentspeak	distributed multi-agent reasoning system	3
mercury (programming language)	curry (programming language)	3
mercury (programming language)	alice (programming language)	3
mercury (programming language)	standard ml	3
mercury (programming language)	logtalk	3
mercury (programming language)	oz (programming language)	3
mercury (programming language)	visual prolog	3
turing-complete	ai-completeness	3
turing-complete	algorithmic information theory	3
turing-complete	chomsky hierarchy	3
turing-complete	church–turing thesis	3
turing-complete	computability theory	3
turing-complete	inner loop	3
turing-complete	loop (computing)	3
turing-complete	machine that always halts	3
turing-complete	rice's theorem	3
turing-complete	smn theorem	3
turing-complete	structured program theorem	3
turing-complete	turing tarpit	3
datalog	answer set programming	3
datalog	conjunctive query	3
datalog	dlv	3
datalog	flix (programming language)	3
datalog	semantic web rule language	3
datalog	tuple-generating dependency	3
datalog	integrity constraint	3
datalog	relational database	3
concurrent constraint logic programming	curry (programming language)	3
concurrent constraint logic programming	toontalk	3
concurrent constraint logic programming	janus (concurrent constraint programming language)	3
concurrent constraint logic programming	alice (programming language)	3
visual prolog	comparison of prolog implementations	3
visual prolog	logtalk	3
visual prolog	mercury (programming language)	3
data type	c data types	3
data type	data dictionary	3
data type	functional programming	3
data type	kind (type theory)	3
data type	type theory	3
data type	type system	3
data type	type conversion	3
object-oriented programming	comparison of programming languages (object-oriented programming)	3
object-oriented programming	comparison of programming paradigms	3
object-oriented programming	component-based software engineering	3
object-oriented programming	design by contract	3
object-oriented programming	object association	3
object-oriented programming	object database	3
object-oriented programming	object model reference	3
object-oriented programming	object modeling language	3
object-oriented programming	object-oriented analysis and design	3
object-oriented programming	object-relational impedance mismatch	3
object-oriented programming	the third manifesto	3
object-oriented programming	object-relational mapping	3
object-oriented programming	cades	3
object-oriented programming	common object request broker architecture	3
object-oriented programming	distributed component object model	3
object-oriented programming	distributed data management architecture	3
object-oriented programming	jeroo	3
object-oriented programming	idef4	3
object-oriented programming	interface description language	3
object-oriented programming	lepus3	3
object-oriented programming	unified modeling language	3
logico-linguistic modeling	argument map	3
logico-linguistic modeling	cognitive map	3
logico-linguistic modeling	concept map	3
logico-linguistic modeling	fuzzy cognitive map	3
logico-linguistic modeling	knowledge representation and reasoning	3
logico-linguistic modeling	semantic network	3
answer set programming	default logic	3
answer set programming	logic programming	3
answer set programming	non-monotonic logic	3
answer set programming	prolog	3
answer set programming	stable model semantics	3
google now	amazon alexa	3
google now	cortana (software)	3
google now	bixby (voice assistant)	3
google now	google assistant	3
google now	evi (software)	3
google now	siri	3
google now	s voice	3
google now	viv (software)	3
wizard (software)	expert system	3
wizard (software)	virtual assistant	3
wizard (software)	office assistant	3
software agent	agent architecture	3
